名稱,斷詞結果_0,斷詞結果_1,斷詞結果_2,斷詞結果_3,斷詞結果_4,斷詞結果_5,斷詞結果_6,斷詞結果_7,斷詞結果_8,斷詞結果_9,斷詞結果_10,斷詞結果_11,斷詞結果_12,斷詞結果_13,斷詞結果_14,斷詞結果_15,斷詞結果_16,斷詞結果_17,斷詞結果_18,斷詞結果_19,斷詞結果_20,斷詞結果_21,斷詞結果_22,斷詞結果_23,斷詞結果_24,斷詞結果_25,斷詞結果_26,斷詞結果_27,斷詞結果_28,斷詞結果_29,斷詞結果_30,斷詞結果_31,斷詞結果_32,斷詞結果_33,斷詞結果_34,斷詞結果_35,斷詞結果_36,斷詞結果_37,斷詞結果_38,斷詞結果_39,斷詞結果_40,斷詞結果_41,斷詞結果_42,斷詞結果_43,斷詞結果_44,斷詞結果_45,斷詞結果_46,斷詞結果_47,斷詞結果_48,斷詞結果_49,斷詞結果_50,斷詞結果_51,斷詞結果_52,斷詞結果_53,斷詞結果_54
103年度多尺度遙測影像分析與展示平台擴充維護,103年度,多,尺度,遙測,影像,分析,與,展示,平台,擴充,維護,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
立式泵浦共振模態及頻率的有限元素分析,立式,泵浦,共振,模態,及,頻率,的,有限,元素,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年度娛樂漁業漁船遊憩安全輔導計劃,103年度,娛樂,漁業,漁船,遊憩,安全,輔導,計劃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
委託分析戴奧辛1式,委託,分析,戴奧辛,1,式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中龍脫硫石膏作為CLSM長期強度及配比改良研究,中龍,脫硫,石膏,作為,CLSM,長期,強度,及,配比,改良,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
璨揚企業股份有限公司自費追加產品碳足跡輔導計畫,璨揚,企業,股份,有限公司,自費,追加,產品,碳足跡,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年製造業能源管理系統示範應用與推廣輔導計畫─製造業能源管理系統示範標竿輔導,103年,製造業,能源,管理,系統,示範,應用,與,推廣,輔導,計畫,─,製造業,能源,管理,系統,示範,標竿,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後掠型螺槳動力效能驗證等1項(採購案號︰XW03055P087PE),後掠型,螺槳,動力,效能,驗證,等,1,項,(,採購,案號,︰,XW,03055,P,087,PE,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
醛酮類業場所環境測定與勞工血液樣本分析,醛酮類業,場所,環境,測定,與,勞工,血液,樣本,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
微波影像系統天線與電磁傳播特性分析研究,微波,影像,系統,天線,與,電磁,傳播,特性,分析,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
極限精度定位技術,極限,精度,定位,技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蕭特基二極體可靠度特性研究與驗證,蕭特基,二極體,可靠度,特性,研究,與,驗證,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
溴甲烷的催化合成程序的研究(採購單號：2494038),溴甲烷,的,催化,合成,程序,的,研究,(,採購,單號,：2494038),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
統一企業股份有限公司肉燥特速食麵產品碳足跡盤查暨碳標籤更新服務輔導,統一,企業,股份,有限公司,肉燥,特速,食麵,產品,碳,足跡,盤查,暨,碳,標籤,更新,服務,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
統一企業股份有限公司麥香系列產品碳足跡查證輔導,統一,企業,股份,有限公司,麥香,系列,產品,碳足跡,查證,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺中市歷史建築「林森路75號日式宿舍、大屯郡守官舍及朝陽街日式宿舍群」調查研究及修復再利用計畫,臺中市,歷史,建築,「,林森路,75號,日式,宿舍,、,大屯,郡守官舍,及,朝陽街,日式,宿舍群,」,調查,研究,及,修復,再,利用,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陳壽彝寺廟彩繪作品典藏計畫,陳壽彝,寺廟,彩繪,作品,典藏,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台懋實業股份有限公司自費追加產品碳足跡輔導計畫,台懋,實業,股份,有限公司,自費,追加,產品,碳足跡,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
璨揚企業股份有限公司優質企業AEO制度輔導建置,璨揚,企業,股份,有限公司,優質,企業,AEO,制度,輔導,建置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空氣冷擬系統(ACC)馬達風扇及附屬設備噪音改善規劃工程,空氣,冷擬,系統,(,ACC,),馬達風扇,及,附屬,設備,噪音,改善,規劃,工程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
熱電發電系統流道設計最佳化分析(採購單號︰3000396977),熱電,發電,系統,流道,設計,最佳化,分析,(,採購,單號,︰,3000396977,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基於BYOD安全稽核技術,基於,BYOD,安全,稽核,技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行動雲端服務同步與權限管理技術,行動,雲端,服務,同步,與,權限,管理,技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
太陽光電屋頂性能標準研究與分析研究,太陽,光電,屋頂,性能,標準,研究,與,分析,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度電阻電容業原物料耗用通常水準調查研訂作業(採購案號︰1030027-2),104年度,電阻,電容業,原物料,耗用,通常,水準,調查,研訂,作業,(,採購,案號,︰,1030027-2,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高能量密度鋰電池低溫電解液研發計畫,高能量,密度,鋰電池,低溫,電解液,研發,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014成大菁英航太營,2014,成大,菁英,航太營,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
控制器幾何誤差補償技術開發-委託顧問諮詢,控制器,幾何,誤差,補償,技術,開發,-,委託,顧問,諮詢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台塑企業高雄廠區3D雷射掃描數位典藏計畫,台塑,企業,高雄,廠區,3D,雷射,掃描,數位,典藏,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
因應糧食安全之農業水資源經營策略(103農科-8.2.6-利-b1(1))評估氣候變遷對乾旱風險之影響,因應,糧食,安全,之,農業,水,資源,經營,策略,(,103,農科,-,8.2.6,-,利,-b1,(1,),),評估,氣候,變遷,對,乾旱,風險,之,影響,,,,,,,,,,,,,,,,,,,,,,,,,,,
金門料羅港漂沙及風吹沙現場調查,金門料,羅港,漂沙,及,風吹沙,現場,調查,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可成科技股份有限公司自費追加產品碳足跡輔導計畫,可,成,科技,股份,有限公司,自費,追加,產品,碳足跡,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高效能輕質鋁合金泵研製計畫,高效能,輕,質,鋁合金泵,研製,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
數位航空城系統委託規劃服務案,數位,航空城,系統,委託,規劃,服務案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
統一企業股份有限公司黃金豆豆漿450ml紙盒裝產品碳足跡盤查暨碳標籤更新服務輔導,統一,企業,股份,有限公司,黃金,豆豆漿,450,ml,紙盒裝,產品,碳,足跡,盤查,暨,碳,標籤,更新,服務,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
電控控制板開發計畫,電控,控制板,開發,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中鋼保全股份有限公司企業社會責任(CSR)報告書輔導計畫,中鋼,保全,股份,有限公司,企業,社會,責任,(,CSR,),報告書,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
染料敏化太陽能電池產學技術聯盟服務推廣,染料,敏化,太陽能,電池,產學,技術,聯盟,服務,推廣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浮動樓板隔振墊開孔配置與隔音效能之研究,浮動,樓板,隔振墊開孔,配置,與,隔音,效能,之,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲端儲存與分享技術之創新應用研究與實作,雲端,儲存,與,分享,技術,之,創新,應用,研究,與,實作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
展示架系統設計,展示架,系統,設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
網仔寮沙洲漂流木防護試驗後續監測,網仔寮,沙洲,漂流木,防護,試驗,後續,監測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中草藥降血糖產品的安全性評估研究計畫,中草藥,降,血糖,產品,的,安全性,評估,研究,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
牛樟芝三寶滴丸與松芝健康食品的新藥開發研究計畫,牛樟芝,三,寶,滴丸,與,松芝,健康,食品,的,新,藥,開發,研究,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014　International　Debris-Flow　Workshop,2014,　International　Debris-Flow　Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
誘發生物細胞破壞活性物質特性分析(採購單號:3000400129),誘發,生物,細胞,破壞,活性,物質,特性,分析,(,採購,單號,:3000400129),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年度「高科技產業環境安全暨永續發展」系列研討,103年度,「,高科技,產業,環境,安全,暨,永續,發展,」,系列,研討,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多層次儲存虛擬化,多層次,儲存,虛擬化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
幸福服務網路探勘技術研究,幸福,服務,網路,探勘,技術,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p型薄膜電晶體特性驗證(採購單號︰3000395913),p型,薄膜,電晶體,特性,驗證,(,採購,單號,︰,3000395913,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAV公路安全應用研討會,UAV,公路,安全,應用,研討會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
力行及成杏校區整體空間基本規劃委託技術服務案,力行,及,成杏,校區,整體,空間,基本,規劃,委託,技術,服務案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乳酸菌的臨床應用發展評估,乳酸菌,的,臨床,應用,發展,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「臺鐵南迴鐵路臺東潮州段電氣化工程建設計畫」—潮枋段土建及一般機電工程設計暨配合工作技術服務－淹水模擬工作,「,臺鐵,南迴,鐵路,臺東,潮州段,電氣化,工程,建設,計畫,」,—,潮枋段,土建,及,一般,機電,工程,設計,暨,配合,工作,技術,服務,－,淹水,模擬,工作,,,,,,,,,,,,,,,,,,,,,,,,,,,
高雄港第二港口北側防波堤新建工程暨布袋港、馬公港區設施新建及整修工程規劃設計及監造工作委託技術服務」—水工模型試驗,高雄港,第二,港口,北側,防波堤,新建,工程,暨,布袋港,、,馬公,港區,設施,新建,及,整修,工程,規劃,設計,及,監造,工作,委託,技術,服務,」,—,水工,模型,試驗,,,,,,,,,,,,,,,,,,,,,,,,,
新北市一千分之一數值航測地形圖測製（第五期）計畫監審案,新北市,一千分之一,數值,航測,地形圖,測製,（,第五,期,）,計畫,監審案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
檢驗飼料或芻料6件,檢驗,飼料,或,芻料,6,件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六軸關節型機械手臂運動控制之關鍵技術研發,六,軸,關節型,機械,手臂,運動,控制,之,關鍵,技術,研發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臨床醫學影像分析處理與應用研究─1,臨床,醫學,影像,分析,處理,與,應用,研究,─,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年度空氣污染物專責人員訓練目測判煙課程專案計畫,103年度,空氣,污染物,專責,人員,訓練,目測,判,煙,課程,專案,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建立最適化藻種保存技術,建立,最適化,藻種,保存,技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
能源管理系統示範輔導計畫(國立成功大學醫學院附設醫院),能源,管理,系統,示範,輔導,計畫,(,國立,成功,大學,醫學院,附設,醫院,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「林口國宅暨2017世界大學運動會選手村新建統包工程第3標」生態社區評估,「,林口,國宅,暨,2017世界,大學,運動會,選手村,新建,統包,工程,第3,標,」,生態,社區,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料浮標維護保養與品管1式,資料,浮標,維護,保養,與,品管,1,式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
穿戴裝置之數據介接及分析模組研究與開發,穿戴,裝置,之,數據,介接,及,分析,模組,研究,與,開發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三業四化服務團,三,業,四化,服務團,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014第三屆客家美食節,2014,第三,屆,客家,美食節,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年府城客家日—客家八音觀摩競賽,103年,府城,客家日,—,客家,八,音,觀摩,競賽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「103-104年度流域綜合治理計畫」─花蓮處執行各治理工程成效追蹤評估工作,「,103,-,104年度,流域,綜合,治理,計畫,」,─,花蓮處,執行,各,治理,工程,成效,追蹤,評估,工作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分散式資料庫平行運算技術,分散式,資料庫,平行,運算,技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺灣南段山區地下水位觀測與水力特性調查(1/4)　–岩石動態彈性參數測定,臺灣,南段,山區,地,下,水位,觀測,與,水力,特性,調查,(,1/4,),　–,岩石,動態,彈性,參數,測定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中小企業即時技術輔導計畫委辦(契約編號：05-10-A014)─應用於觸控面板UV硬化型導電銀膏開發,中小企業,即時,技術,輔導,計畫,委辦,(,契約,編號,：,05-10-A014,),─,應用,於,觸控,面板,UV,硬化型,導電,銀膏,開發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中小企業即時技術輔導計畫委辦(契約編號：05─10─A014)─花蓮和平礦區砂金礦床洗選含量提升計畫,中小企業,即時,技術,輔導,計畫,委辦,(,契約,編號,：,05,─,10,─A,014,),─,花蓮,和平,礦區,砂金,礦床,洗選,含量,提升,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中小企業即時技術輔導計畫委辦(契約編號：05─10─A014)─提昇碳化矽再生產品回用率與回收價值之可行性評估,中小企業,即時,技術,輔導,計畫,委辦,(,契約,編號,：,05─10,─A014,),─,提昇,碳化矽,再生,產品,回用率,與,回收,價值,之,可行性,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中小企業即時技術輔導計畫委辦(契約編號：05─10─A014) ─無線智慧型連續血氧監測控制系統,中小企業,即時,技術,輔導,計畫,委辦,(,契約,編號,：,05─10,─A014,), ─,無線,智慧型,連續,血氧,監測,控制,系統,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中小企業即時技術輔導計畫委辦(契約編號：05─10─A014)─台灣鯛魚鱗膠原蛋白創傷敷料之研發,中小企業,即時,技術,輔導,計畫,委辦,(,契約,編號,：,05,─,10,─A,014,),─,台灣,鯛魚,鱗膠原,蛋白,創傷,敷料,之,研發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
適用於串流資料中探勘技術的研究探討,適用,於,串流,資料,中,探勘,技術,的,研究,探討,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
異質自動化控制介面整合技術研發,異質,自動化,控制,介面,整合,技術,研發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分散式系統之人機介面技術研發,分散式,系統,之,人,機,介面,技術,研發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸音系數、隔音指標量測委託,吸音,系數,、,隔音,指標,量測,委託,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
環保署非游離輻射管理計畫維持電磁波曝露感受檢驗平台工作,環保署,非,游離,輻射,管理,計畫,維持,電磁波,曝露,感受,檢驗,平台,工作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西濱快速公路白沙屯至南通灣段工程綠道路認證研究委託專業服務工作,西濱,快速,公路,白沙屯,至,南,通灣段,工程,綠道路,認證,研究,委託,專業,服務,工作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
因應職業安全衛生法奈米物質安全衛生管理措施探討,因應,職業,安全,衛生,法,奈米,物質,安全,衛生,管理,措施,探討,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
微流道散熱器的性能測試與效益分析等1項(案號︰XV03E08P171),微流道,散熱器,的,性能,測試,與,效益,分析,等,1,項,(,案號,︰,XV03E08,P,171,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
發展以質譜為基礎的分析技術來定性與定量台灣神隆生產之藥品有效成分與市售藥物Copaxone的相似性,發展,以,質譜,為,基礎,的,分析,技術,來,定性,與,定量,台灣,神隆,生產,之,藥品,有效,成分,與,市售,藥物,Copaxone,的,相似性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智財營運管理合作機制評估試作,智財,營運,管理,合作,機制,評估,試作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015年及2016年永續發展報告書,2015年,及,2016年,永續,發展,報告書,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「台南海水淡化廠可行性規劃─環境影響評估計畫」─海域水動力與鹵水擴散模擬分析,「,台南,海水,淡化廠,可行性,規劃,─,環境,影響,評估,計畫,」,─,海域,水動力,與,鹵水,擴散,模擬,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生產力建設台南成光段建案表面風壓及結構風載重量測與分析,生產力,建設,台南,成光段,建案,表面,風壓,及,結構,風載,重量測,與,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路局南區工程處交控中心部分業務委外工作計畫案-資料使用費,國道,高速,公路局,南區,工程處,交控,中心,部分,業務,委外,工作,計畫,案,-,資料,使用費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年南科創新創業輔導培育計畫(第一次契約變更),103年,南科,創新,創業,輔導,培育,計畫,(,第一,次,契約,變更,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年度南海海域非生物資源蒐集評估(採購單號：3000402173),103年度,南海,海域,非生物,資源,蒐集,評估,(,採購,單號,：3000402173),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
委任指導案,委任,指導案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金門縣碳標籤推廣輔導計畫,金門縣,碳標籤,推廣,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南歷史文化影像行動應用程式開發,臺南,歷史,文化,影像,行動,應用,程式,開發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
線性馬達驅動器之開發,線性,馬達,驅動器,之,開發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年高雄市哈瑪星歷史街區劃設之研究計畫,103年,高雄市,哈瑪星,歷史,街區,劃設,之,研究,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道3號蘭潭隧道水泥混凝土路面檢測工作(103),國道,3號,蘭潭,隧道,水泥,混凝土,路面,檢測,工作,(103),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浸鍍Al─Zn合金廢渣分選可行性研究,浸鍍,Al─Zn,合金,廢渣,分選,可行性,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台灣地區北部區域雙溪水庫可行性規劃檢討(4)-工程專題-強地動儀維護觀測及分析,台灣,地區,北部,區域,雙溪,水庫,可行性,規劃,檢討,(,4),-,工程,專題,-,強,地動儀,維護,觀測,及,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後龍溪水資源環境觀測及調查計畫(1)-強地動儀維護觀測及資料整理(1/2),後龍,溪,水,資源,環境,觀測,及,調查,計畫,(1),-,強,地動儀,維護,觀測,及,資料,整理,(,1/2,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
正達國際光電股份有限公司優質企業(AEO)制度輔導建置,正達,國際,光電,股份,有限公司,優質,企業,(,AEO,),制度,輔導,建置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
育誠法律事務所服務合作計畫,育誠,法律,事務所,服務,合作,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年雲林縣成人菸酒檳榔行為電話調查,103年,雲林縣,成人,菸酒,檳榔,行為,電話,調查,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中部區域水資源規劃調配管理系統分析(2/2),中部,區域,水,資源,規劃,調配,管理,系統,分析,(,2/2,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
藻類萃取物於抗氧化之功效評估,藻類,萃取物,於,抗,氧化,之,功效,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非晶矽薄膜電晶體光感測器在可見光波段之信賴性探討,非晶矽,薄膜,電晶體,光,感測器,在,可見光,波段,之,信賴性,探討,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年度農田水利生態工程推廣與節能減碳應用-嘉南大圳南幹支線生物多樣性追蹤調查,103年度,農田,水利,生態,工程,推廣,與,節能,減,碳,應用,-,嘉南,大圳,南幹,支線,生物,多樣性,追蹤,調查,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preparation　and　characterization　of　organoclay　surface　modified　boron　nitride　and　PBO,Preparation　and　characterization　,of,　organoclay　surface　modified　boron　nitride　and　PBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市安平區履鋒東村與崇義新村都市更新委託技術服務案「基礎資料蒐集、小型研討會辦理、及專業諮詢委辦案」,臺南市,安平區,履鋒,東村,與,崇義,新村,都市,更新,委託,技術,服務案,「,基礎,資料,蒐集,、,小型,研討會,辦理,、,及,專業,諮詢委,辦案,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
證券投資入門,證券,投資,入門,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
股票及期貨選擇權技術分析基礎班,股票,及,期貨,選擇權,技術,分析,基礎班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
探討多重濾材過濾阻抗之研究,探討,多重,濾材,過濾,阻抗,之,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
霸王鯨腳踏車行銷分析計畫,霸王鯨,腳踏車,行銷,分析,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
明安國際企業股份有限公司專班,明安,國際,企業,股份,有限公司,專班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台船50M駁船甲板上浪模型試驗,台船,50,M,駁船,甲板,上浪,模型,試驗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資誠聯合會計事務所─台灣表面黏著科技股份有限公司企業社會責任(CSR)報告書專案合作,資誠,聯合,會計,事務所,─,台灣,表面,黏著,科技,股份,有限公司,企業,社會,責任,(,CSR,),報告書,專案,合作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
產業用水效能提升計畫-產業水資源風險評估暨水足跡揭露,產業,用水,效能,提升,計畫,-,產業,水,資源,風險,評估,暨,水,足跡,揭露,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
以動物實驗驗證奈米微粒致甲狀腺/腎上腺內分泌及腎臟功能危害和心肺效應,以,動物,實驗,驗證,奈米,微粒,致,甲狀腺,/,腎上腺,內分泌,及,腎臟,功能,危害,和,心肺,效應,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLGA奈米球鑲嵌磁珠作為雙檢測模式之疾病檢測平台,PLGA,奈米球,鑲嵌,磁珠,作為,雙,檢測,模式,之,疾病,檢測,平台,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
『鳳山天然氣井生產-出砂預測及井壁穩定』委託試驗(FED0314001),『,鳳山,天然氣井,生產,-,出砂,預測,及,井壁,穩定,』,委託,試驗,(,FED,0314001,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
微藻培養液再利用及節能方案之測試評估,微藻,培養液,再,利用,及,節能,方案,之,測試,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
